Accession	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
MIMAT0000266	0.3006546	0.2408407	0.6466845	0.1545666	0.6872183	0.2234049	0.4558207	0.4452662	0.9981928	0.1106888	0.5959967	0.3111159
MIMAT0009197	0.6057869	0.6837476	0.1706892	1.351602	0.3826945	0.5789914	0.6539543	0.08421123	0.2896027	0.3416832	0.1382777	0.5119897
MIMAT0026475	0.8556939	2.003175	1.139782	1.452241	1.171337	0.8095729	1.764558	1.153732	0.4689517	0.8099678	0.5757806	1.826688
MIMAT0000267	0.6803201	0.5916835	0.9989049	0.3499242	0.7791498	0.6233188	0.8455477	0.2690198	0.761651	0.5784702	0.4864572	0.6796521
MIMAT0000268	0.007324457	0.3536648	0.5886323	1.852364	0.9353714	0.6586322	0.6163849	0.03650904	0.6528127	0.3315126	0.06173566	0.1765493
MIMAT0022694	0.836022	0.7851804	0.6091778	0.2720835	0.9406086	0.5904443	0.9436802	0.2380683	0.1048021	0.7149644	0.2687176	0.5692774
MIMAT0022695	0.4546775	0.7642753	0.3040512	1.300172	0.6620382	0.5280689	0.5840465	0.3356833	0.6670586	0.3071415	0.6644387	0.6055923
MIMAT0000269	0.531606	0.7880149	0.771422	1.310939	0.8460554	-0.02595598	0.641257	0.3525844	0.6781332	0.4925778	0.5358644	0.4808017
MIMAT0000270	0.2910695	0.6407419	0.6076387	0.888719	0.3826944	0.5920541	0.6997133	0.2973629	0.5198604	0.9179827	0.3935167	0.9448818
MIMAT0004564	0.6199714	0.2484754	0.5237238	0.5525028	0.8823156	0.4164424	0.8900244	0.6373452	0.1799305	0.5435702	0.3959538	1.120482
MIMAT0000271	0.6251658	0.3212596	0.08952016	0.8731123	0.9344208	0.3663169	0.5038884	0.3525822	1.176818	0.3071415	0.5757807	0.5720953
MIMAT0000272	0.4929861	0.3794643	1.105258	0.2367018	0.7496774	0.5459503	0.9622439	0.2732476	0.2954347	0.5095345	0.4625583	1.12664
MIMAT0026476	0.1869145	0.3234716	0.339549	0.3573306	0.648046	0.5305825	0.7071198	0.2469517	0.4122104	0.3145478	0.7862234	0.834156
MIMAT0000273	0.7918306	0.8221239	1.03136	0.6392335	0.6091415	0.860708	0.7796654	0.6818792	0.5768614	0.8237213	1.103406	1.11678
MIMAT0022844	0.3883967	0.4153916	0.4908106	0.493791	0.5220538	0.2534739	0.5551471	0.2753093	0.3695197	0.4064679	0.2560269	0.7941591
MIMAT0000274	0.3365756	0.7603378	0.5337927	0.5718376	0.6206732	0.7251914	1.177887	0.2521521	0.8412372	0.3669812	0.4974605	0.9062374
MIMAT0000275	0.1843498	0.8336946	0.5913844	0.03844309	1.165537	0.3959195	0.6507627	0.3872529	0.5934518	0.2727489	0.2996072	0.739545
MIMAT0004565	0.745702	0.1594008	0.897101	0.886821	0.7235075	0.1672556	0.5721275	0.3925007	0.5698971	0.1424246	0.5757807	0.5776508
MIMAT0004566	0.6393179	0.1608429	0.6091778	0.6925557	0.4364493	0.2149768	0.3372166	0.1831291	0.662509	0.3071415	0.4982581	1.263007
MIMAT0000276	0.4818154	0.2461629	0.08952019	0.5411636	0.6223844	0.634261	0.6329738	0.276199	-0.06741405	0.598709	0.5656832	0.7043198
MIMAT0004567	0.306353	0.6413703	0.1052801	0.886821	0.4110145	0.2981534	0.4873678	0.1801551	0.7872216	0.6375007	0.6016816	0.7032445
MIMAT0004568	0.5066643	0.8186498	1.774159	0.6616336	0.7946277	0.465952	0.6380327	0.4891769	0.7497827	0.839345	1.1981	0.6704939
MIMAT0000278	1.159617	0.2796683	0.876724	0.8504241	1.201048	0.6674148	0.924338	0.7270025	0.4995818	1.181557	0.8140272	1.780408
MIMAT0004569	0.4550996	0.5567105	0.8862622	0.932689	0.578509	0.3998431	0.6301764	0.4845419	0.4697345	0.5432168	0.7402872	0.3142288
MIMAT0000279	3.26181	1.830128	2.639843	3.658439	0.9737337	2.287089	3.250113	2.313925	2.271536	0.609573	3.985943	3.232412
MIMAT0004570	0.5383643	0.3027118	0.4747816	1.124506	0.6596223	0.6476144	0.5678903	0.3195271	0.36921	0.2086036	0.3009823	0.5664923
MIMAT0000280	1.477695	1.105864	1.079049	0.819795	1.54892	0.2752633	1.022277	0.9730126	0.9824635	1.081852	0.913219	0.957708
MIMAT0000281	0.6725912	0.5990851	0.3369063	0.1329193	0.7036215	0.4316188	0.7032068	0.09208447	0.2216093	0.5545276	0.3518599	0.6905944
MIMAT0009198	0.787661	0.5220597	0.7768674	1.714473	0.648046	0.3998431	1.129933	0.2041987	0.5406671	0.5131359	0.6918828	0.7153726
MIMAT0004571	0.239602	0.6231486	1.781467	1.429319	0.9786524	0.399843	0.75293	0.3033244	0.5480336	0.5987089	1.106668	1.833624
MIMAT0000318	0.7593494	0.6764945	1.31534	1.167948	1.310388	0.1446204	0.5324376	0.1379105	0.5331588	0.7001104	0.3553534	0.6905943
MIMAT0000414	0.6110895	0.5859535	1.189327	0.14413	0.8062286	0.634261	0.6908315	0.3925007	0.2489214	0.9148985	0.497079	1.21495
MIMAT0004584	0.3351595	0.4937862	0.6543218	0.886821	0.648046	0.4034522	0.5003872	0.1880654	0.6412526	0.4899166	0.4004973	0.5403576
MIMAT0000415	1.985071	2.650791	2.132584	1.685713	1.999293	0.9450353	0.7669872	1.137782	0.867387	2.546604	0.9988654	1.681357
MIMAT0004585	0.4207037	0.1660595	0.4099102	0.6875533	0.5402753	0.6941631	0.6134016	0.1940899	0.2697788	0.4838963	0.647821	0.8018944
MIMAT0000416	-0.008422732	0.3160652	0.3179287	0.886821	1.237445	0.3998431	0.9425653	0.5925897	0.5101024	0.581628	0.3553534	0.4501106
MIMAT0000417	1.263568	0.6025786	0.5368361	0.8841754	0.6718535	0.4606393	0.2455693	0.4257097	1.113608	0.5978097	1.335247	0.967001
MIMAT0004586	0.4004175	0.119512	0.4076471	0.8253131	0.974928	0.4377078	0.5996711	0.354636	0.3193358	-0.1083288	0.4705891	0.6409589
MIMAT0004587	0.7380328	0.5062698	1.020927	0.3499242	0.9344208	0.2612641	0.2313144	0.1642264	0.6922049	0.4973461	0.7659854	1.311626
MIMAT0000418	0.4676427	0.1584796	0.4086083	1.679031	1.446094	0.7521765	1.082931	0.7105051	0.994754	1.701252	0.4263545	1.004743
MIMAT0004588	0.7636048	0.3229567	0.9049326	0.886821	1.239761	0.6365768	0.7589704	0.03900623	0.5182047	0.598709	0.6107538	0.2511492
MIMAT0000419	0.1926264	0.4261276	0.5294331	1.463185	0.5609884	0.3018765	0.8434507	0.1802463	0.5158889	0.1804359	0.4405949	1.038499
MIMAT0000420	0.08422393	0.3160651	0.4302538	1.399305	0.254196	0.7025864	0.7680389	0.3001041	0.6494569	0.6913556	0.2970783	0.5156022
MIMAT0004589	0.290593	0.05477583	0.203178	-0.28894	0.857523	0.2654139	0.1544167	0.2726971	0.2813072	0.5218112	0.4667844	0.9267825
